"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","WHEAT - ACRES HARVESTED  -  <b>VALUE</b>","WHEAT - ACRES HARVESTED  -  <b>CV (%)</b>","WHEAT - ACRES PLANTED  -  <b>VALUE</b>","WHEAT - ACRES PLANTED  -  <b>CV (%)</b>","WHEAT - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","WHEAT - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","WHEAT - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","WHEAT, IRRIGATED - ACRES HARVESTED  -  <b>VALUE</b>","WHEAT, IRRIGATED - ACRES HARVESTED  -  <b>CV (%)</b>","WHEAT, IRRIGATED - ACRES PLANTED  -  <b>VALUE</b>","WHEAT, IRRIGATED - ACRES PLANTED  -  <b>CV (%)</b>","WHEAT, IRRIGATED - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","WHEAT, IRRIGATED - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","WHEAT, NON-IRRIGATED - ACRES HARVESTED  -  <b>VALUE</b>","WHEAT, NON-IRRIGATED - ACRES HARVESTED  -  <b>CV (%)</b>","WHEAT, NON-IRRIGATED - ACRES PLANTED  -  <b>VALUE</b>","WHEAT, NON-IRRIGATED - ACRES PLANTED  -  <b>CV (%)</b>","WHEAT, NON-IRRIGATED - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","WHEAT, NON-IRRIGATED - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","WHEAT, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","WHEAT, WINTER - ACRES HARVESTED  -  <b>VALUE</b>","WHEAT, WINTER - ACRES HARVESTED  -  <b>CV (%)</b>","WHEAT, WINTER - ACRES PLANTED  -  <b>VALUE</b>","WHEAT, WINTER - ACRES PLANTED  -  <b>CV (%)</b>","WHEAT, WINTER - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","WHEAT, WINTER - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","WHEAT, WINTER, IRRIGATED - ACRES HARVESTED  -  <b>VALUE</b>","WHEAT, WINTER, IRRIGATED - ACRES HARVESTED  -  <b>CV (%)</b>","WHEAT, WINTER, IRRIGATED - ACRES PLANTED  -  <b>VALUE</b>","WHEAT, WINTER, IRRIGATED - ACRES PLANTED  -  <b>CV (%)</b>","WHEAT, WINTER, IRRIGATED - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","WHEAT, WINTER, IRRIGATED - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","WHEAT, WINTER, IRRIGATED - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT, WINTER, IRRIGATED - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","WHEAT, WINTER, NON-IRRIGATED - ACRES HARVESTED  -  <b>VALUE</b>","WHEAT, WINTER, NON-IRRIGATED - ACRES HARVESTED  -  <b>CV (%)</b>","WHEAT, WINTER, NON-IRRIGATED - ACRES PLANTED  -  <b>VALUE</b>","WHEAT, WINTER, NON-IRRIGATED - ACRES PLANTED  -  <b>CV (%)</b>","WHEAT, WINTER, NON-IRRIGATED - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","WHEAT, WINTER, NON-IRRIGATED - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","WHEAT, WINTER, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT, WINTER, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","DAWSON","047","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","7,200","","8,000","","282,000","","39.2","","1,400","","1,900","","61,600","","44","","5,800","","6,100","","220,400","","38","","7,200","","8,000","","282,000","","39.2","","1,400","","1,900","","61,600","","44","","5,800","","6,100","","220,400","","38",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","GREELEY","077","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,200","","2,500","","107,800","","49","","1,100","","1,200","","56,100","","51","","1,100","","1,300","","51,700","","47","","2,200","","2,500","","107,800","","49","","1,100","","1,200","","56,100","","51","","1,100","","1,300","","51,700","","47",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","HALL","079","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","3,200","","3,300","","129,500","","40.5","","1,100","","1,100","","53,900","","49","","2,100","","2,200","","75,600","","36","","3,200","","3,300","","129,500","","40.5","","1,100","","1,100","","53,900","","49","","2,100","","2,200","","75,600","","36",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","HOWARD","093","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","4,600","","4,900","","182,800","","39.7","","1,800","","2,100","","79,200","","44","","2,800","","2,800","","103,600","","37","","4,600","","4,900","","182,800","","39.7","","1,800","","2,100","","79,200","","44","","2,800","","2,800","","103,600","","37",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","SHERMAN","163","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","3,900","","4,200","","183,400","","47","","800","","900","","40,800","","51","","3,100","","3,300","","142,600","","46","","3,900","","4,200","","183,400","","47","","800","","900","","40,800","","51","","3,100","","3,300","","142,600","","46",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","VALLEY","175","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","3,100","","3,500","","121,200","","39.1","","500","","800","","25,000","","50","","2,600","","2,700","","96,200","","37","","3,100","","3,500","","121,200","","39.1","","500","","800","","25,000","","50","","2,600","","2,700","","96,200","","37",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","BLAINE","009","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","500","","500","","28,000","","56","","","","","","","","","","","","","","","","","","500","","500","","28,000","","56","","","","","","","","","","","","","","","","",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","BOYD","015","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","6,400","","6,700","","277,800","","43.4","","","","","","","","","","","","","","","","","","6,400","","6,700","","277,800","","43.4","","","","","","","","","","","","","","","","",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","BROWN","017","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","400","","600","","23,700","","59.3","","","","","","","","","","","","","","","","","","400","","600","","23,700","","59.3","","","","","","","","","","","","","","","","",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","CHERRY","031","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,800","","3,000","","131,600","","47","","2,100","","2,300","","113,400","","54","","700","","700","","18,200","","26","","2,800","","3,000","","131,600","","47","","2,100","","2,300","","113,400","","54","","700","","700","","18,200","","26",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","HOLT","089","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","24,400","","25,400","","1,310,200","","53.7","","18,200","","19,000","","1,079,500","","59.3","","6,200","","6,400","","230,700","","37.2","","24,400","","25,400","","1,310,200","","53.7","","18,200","","19,000","","1,079,500","","59.3","","6,200","","6,400","","230,700","","37.2",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","KEYA PAHA","103","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","500","","1,000","","17,300","","34.6","","","","","","","","","","","","","","","","","","500","","1,000","","17,300","","34.6","","","","","","","","","","","","","","","","",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","LOGAN","113","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","4,500","","4,800","","195,300","","43.4","","1,800","","1,800","","79,200","","44","","2,700","","3,000","","116,100","","43","","4,500","","4,800","","195,300","","43.4","","1,800","","1,800","","79,200","","44","","2,700","","3,000","","116,100","","43",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","ROCK","149","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","1,500","","1,500","","72,700","","48.5","","700","","700","","34,300","","49","","800","","800","","38,400","","48","","1,500","","1,500","","72,700","","48.5","","700","","700","","34,300","","49","","800","","800","","38,400","","48",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","WHEELER","183","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,600","","2,900","","139,800","","53.8","","","","","","","","","","","","","","","","","","2,600","","2,900","","139,800","","53.8","","","","","","","","","","","","","","","","",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","BOX BUTTE","013","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","113,000","","120,000","","4,241,200","","37.5","","29,400","","34,000","","1,816,800","","61.8","","83,600","","86,000","","2,424,400","","29","","113,000","","120,000","","4,241,200","","37.5","","29,400","","34,000","","1,816,800","","61.8","","83,600","","86,000","","2,424,400","","29",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","CHEYENNE","033","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","184,500","","189,500","","8,131,100","","44.1","","12,300","","12,500","","762,600","","62","","172,200","","177,000","","7,368,500","","42.8","","184,500","","189,500","","8,131,100","","44.1","","12,300","","12,500","","762,600","","62","","172,200","","177,000","","7,368,500","","42.8",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","DAWES","045","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","35,000","","36,900","","1,163,400","","33.2","","1,400","","1,900","","88,200","","63","","33,600","","35,000","","1,075,200","","32","","35,000","","36,900","","1,163,400","","33.2","","1,400","","1,900","","88,200","","63","","33,600","","35,000","","1,075,200","","32",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","DEUEL","049","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","94,500","","96,200","","4,224,000","","44.7","","2,200","","2,200","","162,800","","74","","92,300","","94,000","","4,061,200","","44","","94,500","","96,200","","4,224,000","","44.7","","2,200","","2,200","","162,800","","74","","92,300","","94,000","","4,061,200","","44",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","GARDEN","069","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,100","","43,600","","2,066,500","","47.9","","2,400","","2,600","","153,600","","64","","40,700","","41,000","","1,912,900","","47","","43,100","","43,600","","2,066,500","","47.9","","2,400","","2,600","","153,600","","64","","40,700","","41,000","","1,912,900","","47",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","KIMBALL","105","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","105,500","","110,200","","2,557,500","","24.2","","5,500","","6,200","","357,500","","65","","100,000","","104,000","","2,200,000","","22","","105,500","","110,200","","2,557,500","","24.2","","5,500","","6,200","","357,500","","65","","100,000","","104,000","","2,200,000","","22",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","MORRILL","123","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","23,300","","24,500","","1,153,600","","49.5","","7,000","","7,700","","469,000","","67","","16,300","","16,800","","684,600","","42","","23,300","","24,500","","1,153,600","","49.5","","7,000","","7,700","","469,000","","67","","16,300","","16,800","","684,600","","42",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","SCOTTS BLUFF","157","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","10,200","","11,600","","372,300","","36.5","","5,100","","5,900","","244,800","","48","","5,100","","5,700","","127,500","","25","","10,200","","11,600","","372,300","","36.5","","5,100","","5,900","","244,800","","48","","5,100","","5,700","","127,500","","25",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","SHERIDAN","161","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,200","","52,200","","1,701,600","","34.6","","8,100","","9,200","","550,800","","68","","41,100","","43,000","","1,150,800","","28","","49,200","","52,200","","1,701,600","","34.6","","8,100","","9,200","","550,800","","68","","41,100","","43,000","","1,150,800","","28",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","SIOUX","165","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,200","","3,200","","56,500","","25.7","","1,300","","1,700","","40,300","","31","","900","","1,500","","16,200","","18","","2,200","","3,200","","56,500","","25.7","","1,300","","1,700","","40,300","","31","","900","","1,500","","16,200","","18",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTH","80","ADAMS","001","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","17,100","","17,500","","821,600","","48","","5,000","","5,000","","265,000","","53","","12,100","","12,500","","556,600","","46","","17,100","","17,500","","821,600","","48","","5,000","","5,000","","265,000","","53","","12,100","","12,500","","556,600","","46",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTH","80","FRANKLIN","061","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","28,100","","28,500","","1,209,700","","43","","6,400","","6,500","","320,000","","50","","21,700","","22,000","","889,700","","41","","28,100","","28,500","","1,209,700","","43","","6,400","","6,500","","320,000","","50","","21,700","","22,000","","889,700","","41",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTH","80","FURNAS","065","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","77,600","","78,700","","3,887,400","","50.1","","5,500","","5,700","","362,400","","65.9","","72,100","","73,000","","3,525,000","","48.9","","77,600","","78,700","","3,887,400","","50.1","","5,500","","5,700","","362,400","","65.9","","72,100","","73,000","","3,525,000","","48.9",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTH","80","GOSPER","073","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","20,900","","21,800","","1,121,000","","53.6","","3,800","","3,800","","231,800","","61","","17,100","","18,000","","889,200","","52","","20,900","","21,800","","1,121,000","","53.6","","3,800","","3,800","","231,800","","61","","17,100","","18,000","","889,200","","52",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTH","80","HARLAN","083","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","36,800","","37,600","","1,790,200","","48.6","","3,400","","3,600","","187,000","","55","","33,400","","34,000","","1,603,200","","48","","36,800","","37,600","","1,790,200","","48.6","","3,400","","3,600","","187,000","","55","","33,400","","34,000","","1,603,200","","48",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTH","80","KEARNEY","099","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","14,400","","14,700","","678,600","","47.1","","4,100","","4,200","","246,000","","60","","10,300","","10,500","","432,600","","42","","14,400","","14,700","","678,600","","47.1","","4,100","","4,200","","246,000","","60","","10,300","","10,500","","432,600","","42",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTH","80","PHELPS","137","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","9,600","","12,100","","471,000","","49.1","","5,400","","7,100","","286,200","","53","","4,200","","5,000","","184,800","","44","","9,600","","12,100","","471,000","","49.1","","5,400","","7,100","","286,200","","53","","4,200","","5,000","","184,800","","44",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTH","80","WEBSTER","181","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","45,200","","45,600","","1,683,200","","37.2","","5,600","","5,600","","257,600","","46","","39,600","","40,000","","1,425,600","","36","","45,200","","45,600","","1,683,200","","37.2","","5,600","","5,600","","257,600","","46","","39,600","","40,000","","1,425,600","","36",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTHWEST","70","CHASE","029","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","45,400","","50,100","","2,495,100","","55","","12,500","","13,100","","850,100","","68","","32,900","","37,000","","1,645,000","","50","","45,400","","50,100","","2,495,100","","55","","12,500","","13,100","","850,100","","68","","32,900","","37,000","","1,645,000","","50",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTHWEST","70","DUNDY","057","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","51,800","","55,500","","2,786,000","","53.8","","17,700","","19,500","","1,115,100","","63","","34,100","","36,000","","1,670,900","","49","","51,800","","55,500","","2,786,000","","53.8","","17,700","","19,500","","1,115,100","","63","","34,100","","36,000","","1,670,900","","49",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTHWEST","70","FRONTIER","063","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","56,600","","60,400","","2,828,000","","50","","4,200","","4,400","","260,400","","62","","52,400","","56,000","","2,567,600","","49","","56,600","","60,400","","2,828,000","","50","","4,200","","4,400","","260,400","","62","","52,400","","56,000","","2,567,600","","49",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTHWEST","70","HAYES","085","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","39,400","","40,700","","1,910,700","","48.5","","6,500","","6,700","","331,500","","51","","32,900","","34,000","","1,579,200","","48","","39,400","","40,700","","1,910,700","","48.5","","6,500","","6,700","","331,500","","51","","32,900","","34,000","","1,579,200","","48",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTHWEST","70","HITCHCOCK","087","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","67,900","","71,700","","3,159,800","","46.5","","2,600","","2,700","","156,000","","60","","65,300","","69,000","","3,003,800","","46","","67,900","","71,700","","3,159,800","","46.5","","2,600","","2,700","","156,000","","60","","65,300","","69,000","","3,003,800","","46",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTHWEST","70","KEITH","101","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","54,500","","56,500","","3,064,000","","56.2","","10,000","","10,500","","750,000","","75","","44,500","","46,000","","2,314,000","","52","","54,500","","56,500","","3,064,000","","56.2","","10,000","","10,500","","750,000","","75","","44,500","","46,000","","2,314,000","","52",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTHWEST","70","LINCOLN","111","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","25,500","","33,400","","1,215,700","","47.7","","6,100","","7,400","","323,300","","53","","19,400","","26,000","","892,400","","46","","25,500","","33,400","","1,215,700","","47.7","","6,100","","7,400","","323,300","","53","","19,400","","26,000","","892,400","","46",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTHWEST","70","PERKINS","135","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","127,500","","131,500","","5,959,000","","46.7","","16,200","","16,500","","1,142,000","","70.5","","111,300","","115,000","","4,817,000","","43.3","","127,500","","131,500","","5,959,000","","46.7","","16,200","","16,500","","1,142,000","","70.5","","111,300","","115,000","","4,817,000","","43.3",""
"SURVEY","2007","YEAR","","COUNTY","NEBRASKA","31","SOUTHWEST","70","RED WILLOW","145","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","67,700","","70,200","","3,719,800","","54.9","","4,000","","4,200","","280,000","","70","","63,700","","66,000","","3,439,800","","54","","67,700","","70,200","","3,719,800","","54.9","","4,000","","4,200","","280,000","","70","","63,700","","66,000","","3,439,800","","54",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","BUFFALO","019","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","9,300","","11,500","","428,500","","46.1","","3,600","","3,800","","263,200","","73.1","","5,700","","7,700","","165,300","","29","","9,300","","11,500","","428,500","","46.1","","3,600","","3,800","","263,200","","73.1","","5,700","","7,700","","165,300","","29",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","CUSTER","041","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","10,300","","14,500","","403,300","","39.2","","1,500","","1,500","","103,500","","69","","8,800","","13,000","","299,800","","34.1","","10,300","","14,500","","403,300","","39.2","","1,500","","1,500","","103,500","","69","","8,800","","13,000","","299,800","","34.1",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","DAWSON","047","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","5,200","","5,800","","224,900","","43.3","","1,300","","1,300","","96,200","","74","","3,900","","4,500","","128,700","","33","","5,200","","5,800","","224,900","","43.3","","1,300","","1,300","","96,200","","74","","3,900","","4,500","","128,700","","33",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","GREELEY","077","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","1,200","","1,900","","51,400","","42.8","","500","","600","","32,500","","65","","700","","1,300","","18,900","","27","","1,200","","1,900","","51,400","","42.8","","500","","600","","32,500","","65","","700","","1,300","","18,900","","27",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","HALL","079","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,300","","2,400","","88,000","","38.3","","500","","500","","34,000","","68","","1,800","","1,900","","54,000","","30","","2,300","","2,400","","88,000","","38.3","","500","","500","","34,000","","68","","1,800","","1,900","","54,000","","30",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","HOWARD","093","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","3,200","","3,700","","121,600","","38","","800","","800","","52,000","","65","","2,400","","2,900","","69,600","","29","","3,200","","3,700","","121,600","","38","","800","","800","","52,000","","65","","2,400","","2,900","","69,600","","29",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","SHERMAN","163","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,200","","3,300","","83,300","","37.9","","700","","800","","41,300","","59","","1,500","","2,500","","42,000","","28","","2,200","","3,300","","83,300","","37.9","","700","","800","","41,300","","59","","1,500","","2,500","","42,000","","28",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","VALLEY","175","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,300","","2,900","","62,100","","27","","700","","700","","30,100","","43","","1,600","","2,200","","32,000","","20","","2,300","","2,900","","62,100","","27","","700","","700","","30,100","","43","","1,600","","2,200","","32,000","","20",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","ARTHUR","005","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","600","","600","","19,200","","32","","","","","","","","","","600","","600","","19,200","","32","","600","","600","","19,200","","32","","","","","","","","","","600","","600","","19,200","","32",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","BOYD","015","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","3,700","","4,000","","129,800","","35.1","","","","","","","","","","3,500","","3,800","","114,000","","32.6","","3,700","","4,000","","129,800","","35.1","","","","","","","","","","3,500","","3,800","","114,000","","32.6",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","CHERRY","031","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","4,000","","4,100","","249,700","","62.4","","3,100","","3,100","","226,300","","73","","900","","1,000","","23,400","","26","","4,000","","4,100","","249,700","","62.4","","3,100","","3,100","","226,300","","73","","900","","1,000","","23,400","","26",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","HOLT","089","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","15,600","","17,000","","954,300","","61.2","","11,500","","11,700","","839,500","","73","","4,100","","5,300","","114,800","","28","","15,600","","17,000","","954,300","","61.2","","11,500","","11,700","","839,500","","73","","4,100","","5,300","","114,800","","28",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","KEYA PAHA","103","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","900","","900","","31,500","","35","","","","","","","","","","600","","600","","13,200","","22","","900","","900","","31,500","","35","","","","","","","","","","600","","600","","13,200","","22",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","LOGAN","113","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,400","","3,100","","108,500","","45.2","","1,100","","1,200","","82,500","","75","","1,300","","1,900","","26,000","","20","","2,400","","3,100","","108,500","","45.2","","1,100","","1,200","","82,500","","75","","1,300","","1,900","","26,000","","20",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTH","20","ROCK","149","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","2,000","","2,000","","140,000","","70","","2,000","","2,000","","140,000","","70","","","","","","","","","","2,000","","2,000","","140,000","","70","","2,000","","2,000","","140,000","","70","","","","","","","","",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","BOX BUTTE","013","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","105,600","","111,000","","4,515,900","","42.8","","29,900","","31,000","","2,320,600","","77.6","","75,700","","80,000","","2,195,300","","29","","105,600","","111,000","","4,515,900","","42.8","","29,900","","31,000","","2,320,600","","77.6","","75,700","","80,000","","2,195,300","","29",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","CHEYENNE","033","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","187,100","","191,000","","5,507,400","","29.4","","11,900","","12,000","","583,100","","49","","175,200","","179,000","","4,924,300","","28.1","","187,100","","191,000","","5,507,400","","29.4","","11,900","","12,000","","583,100","","49","","175,200","","179,000","","4,924,300","","28.1",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","DAWES","045","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","35,300","","37,000","","1,325,900","","37.6","","1,800","","2,000","","86,400","","48","","33,500","","35,000","","1,239,500","","37","","35,300","","37,000","","1,325,900","","37.6","","1,800","","2,000","","86,400","","48","","33,500","","35,000","","1,239,500","","37",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","DEUEL","049","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","89,300","","91,000","","2,420,400","","27.1","","2,900","","3,000","","174,000","","60","","86,400","","88,000","","2,246,400","","26","","89,300","","91,000","","2,420,400","","27.1","","2,900","","3,000","","174,000","","60","","86,400","","88,000","","2,246,400","","26",""
"SURVEY","2006","YEAR","","COUNTY","NEBRASKA","31","NORTHWEST","10","GARDEN","069","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","44,800","","46,000","","1,587,800","","35.4","","1,900","","2,000","","129,200","","68","","42,900","","44,000","","1,458,600","","34","","44,800","","46,000","","1,587,800","","35.4","","1,900","","2,000","","129,200","","68","","42,900","","44,000","","1,458,600","","34",""
